keyphrase	dispersion	cuewords	tfidf	localspan	cscore	keyword
d	c	c	c	c	c	d
m						class
principles of operating	0.8262676642	0.0	0.0	23.897648686	117.287225053	False
operating systems lecture	0.8421970357	0.0	0.0	0.0	3.16992500144	False
introduction and overview	0.0000000000	0.0	0.0	0.0	3.16992500144	False
a.m prof nalini	0.0000000000	0.0	0.0	0.0	3.16992500144	False
prof nalini venkatasubramanian	0.3684210526	0.0	0.0	3.99446749654	6.33985000288	False
nalini @ ics.uci.edu	0.3684210526	0.0	0.0	3.99446749654	6.33985000288	False
silberschatz textbook authors	0.0000000000	0.0	0.0	0.0	3.16992500144	False
back for wednesday	0.0000000000	0.0	0.0	0.0	3.16992500144	False
wednesday s class	0.0000000000	0.0	0.0	0.0	3.16992500144	False
lecture on friday	0.0000000000	0.0	0.0	0.0	3.16992500144	False
mbeyeler @ uci.edu	0.0000000000	0.0	0.0	0.0	3.16992500144	False
eoguz @ ics.uci.edu	0.0000000000	0.0	0.0	0.0	3.16992500144	False
hzhang10 @ uci.edu	0.0000000000	0.0	0.0	0.0	3.16992500144	False
logistics and details	0.4516129032	0.0	0.0	3.99446749654	6.33985000288	False
details course web	0.0000000000	0.0	0.0	0.0	3.16992500144	False
ics143 lectures mwf	0.0000000000	0.0	0.0	0.0	3.16992500144	False
operating system concepts	0.0000000000	0.0	0.0	0.0	3.16992500144	False
eighth edition silberschatz	0.0000000000	0.0	0.0	0.0	3.16992500144	False
silberschatz and galvin	0.0000000000	0.0	0.0	0.0	3.16992500144	False
alternate book principles	0.0000000000	0.0	0.0	0.0	3.16992500144	False
bic and a.c	0.0000000000	0.0	0.0	0.0	3.16992500144	False
homeworks and assignments	0.0000000000	0.0	0.0	0.0	3.16992500144	False
out at midterm	0.0000000000	0.0	0.0	0.0	3.16992500144	False
NNP during finals	0.0000000000	0.0	0.0	0.0	0.0	False
finals week multistep	0.0000000000	0.0	0.0	0.0	3.16992500144	False
week multistep assignment	0.0000000000	0.0	0.0	0.0	3.16992500144	False
multistep assignment don	0.0000000000	0.0	0.0	0.0	3.16992500144	False
don t start	0.0000000000	0.0	0.0	0.0	3.16992500144	False
start in last	0.0000000000	0.0	0.0	0.0	3.16992500144	False
week of classes	0.0000000000	0.0	0.0	0.0	3.16992500144	False
accepted all submissions	0.0000000000	0.0	0.0	0.0	3.16992500144	False
midterm tentatively wednesday	0.0000000000	0.0	0.0	0.0	3.16992500144	False
class final exam	0.0000000000	0.0	0.0	0.0	3.16992500144	False
final exam tue	0.0000000000	0.0	0.0	0.0	3.16992500144	False
uci course catalog	0.0000000000	0.0	0.0	0.0	3.16992500144	False
grading policy homeworks	0.0000000000	0.0	0.0	0.0	3.16992500144	False
homeworks each worth	0.0000000000	0.0	0.0	0.0	3.16992500144	False
programming assignment worth	0.0000000000	0.0	0.0	0.0	3.16992500144	False
final grade midterm	0.0000000000	0.0	0.0	0.0	3.16992500144	False
final grade final	0.3684210526	0.0	0.0	1.99446749654	6.33985000288	False
grade final exam	0.0000000000	0.0	0.0	0.0	3.16992500144	False
grade final assignment	0.0000000000	0.0	0.0	0.0	3.16992500144	False
assignment of grades	0.0000000000	0.0	0.0	0.0	3.16992500144	False
lecture schedule week	0.0000000000	0.0	0.0	0.0	3.16992500144	False
introduction to operating	0.0000000000	0.0	0.0	0.0	3.16992500144	False
computer system structures	0.0000000000	0.0	0.0	0.0	3.16992500144	False
operating system structures	0.0000000000	0.0	0.0	0.0	3.16992500144	False
system structures week	0.0000000000	0.0	0.0	0.0	3.16992500144	False
process management processes	0.0000000000	0.0	0.0	0.0	3.16992500144	False
processes and threads	0.0000000000	0.0	0.0	0.0	3.16992500144	False
process management cpu	0.0000000000	0.0	0.0	0.0	3.16992500144	False
management cpu scheduling	0.0000000000	0.0	0.0	0.0	3.16992500144	False
cpu scheduling week	0.0000000000	0.0	0.0	0.0	3.16992500144	False
process management process	0.3684210526	0.0	0.0	5.99170124481	9.50977500433	False
management process synchronization	0.3684210526	0.0	0.0	3.99446749654	6.33985000288	False
process synchronization week	0.0000000000	0.0	0.0	0.0	3.16992500144	False
review and exam	0.0000000000	0.0	0.0	0.0	3.16992500144	False
memory management memory	0.4516129032	0.0	0.0	3.99446749654	6.33985000288	False
management memory management	0.4516129032	0.0	0.0	3.99446749654	6.33985000288	False
memory management week	0.0000000000	0.0	0.0	0.0	3.16992500144	False
