computer networks prof::computer networks prof
networks prof sujoy::networks prof sujoy
prof sujoy ghosh::prof sujoy ghosh
sujoy ghosh dept::sujoy ghosh dept
dept of computer::dept of computer
computer science& engineering::computer science& engineering
science& engineering iit::science& engineering iit
engineering iit kharagpur::engineering iit kharagpur
iit kharagpur lecture::iit kharagpur lecture
routing and wavelength::routing and wavelength
assignment in wdm::assignment in wdm
wdm all optical::wdm all optical
continue our discussion::continue our discussion
discussion on wavelength::discussion on wavelength
wavelength deviation multiplexing::wavelength deviation multiplexing
talk about routing::talk about routing
wavelength assignment means::wavelength assignment means
stream of packets::stream of packets
sources and destination::sources and destination
notes to reach::notes to reach
reach the destination::reach the destination
assign one wavelength::assign one wavelength
problem of routing::problem of routing
series of lectures::series of lectures
talking about simple::talking about simple
kinds of routing::kinds of routing
optical wdm networks::optical wdm networks
networks are future::networks are future
backbone for wide::backbone for wide
wide area networks::wide area networks
networks the reason::networks the reason
require an optical::require an optical
optical wdm network::optical wdm network
speed of electronics::speed of electronics
compared to optics::compared to optics
preferable to handle::preferable to handle
handle the traffic::handle the traffic
achieve much higher::achieve much higher
thing is transferred::thing is transferred
transferred the physical::transferred the physical
optical wavelength routers::optical wavelength routers
routers is connected::routers is connected
kind of topology::kind of topology
communication links happen::communication links happen
nodes are connected::nodes are connected
nodes a light::nodes a light
path or connection::path or connection
two end nodes::two end nodes
find this path::find this path
select the wavelength::select the wavelength
nodes can cross::nodes can cross
remember our discussion::remember our discussion
discussion on digital::discussion on digital
digital cross connect::digital cross connect
wavelength is coming::wavelength is coming
programmable optical switches::programmable optical switches
links its path::links its path
fiber are common::fiber are common
common these days::common these days
days and hundreds::days and hundreds
path ? end::path ? end
users use light::users use light
paths to communicate::paths to communicate
light path passing::light path passing
occupies different wavelengths::occupies different wavelengths
two light paths::two light paths
share a fiber::share a fiber
two different light::two different light
fiber in common::fiber in common
wdm with wavelength::wdm with wavelength
lecture that wave::lecture that wave
wave length conversions::wave length conversions
means no wavelength::means no wavelength
partial wavelength conversion::partial wavelength conversion
conversion that means::conversion that means
kind of flexibility::kind of flexibility
flexibility in routing::flexibility in routing
convert the wavelength::convert the wavelength
midway that means::midway that means
convert the signal::convert the signal
possibility of accommodating::possibility of accommodating
establish light paths::establish light paths
path from source::path from source
source to destination::source to destination
wavelength assignment part::wavelength assignment part
assignment part traffic::assignment part traffic
part traffic types::part traffic types
traffic types subjected::traffic types subjected
subjected to optical::subjected to optical
static or dynamic::static or dynamic
specific source destination::specific source destination
source destination pairs::source destination pairs
connected in advance::connected in advance
run some centralized::run some centralized
centralized algorithm kind::centralized algorithm kind
kind of things::kind of things
things and find::things and find
assign the light::assign the light
slightly more complex::slightly more complex
versions of rwa::versions of rwa
rwa are realized::rwa are realized
static light path::static light path
light path establishment::light path establishment
establishment or dynamic::establishment or dynamic
dynamic light path::dynamic light path
establishment now routing::establishment now routing
signals can share::signals can share
share a single::share a single
fiber all signals::fiber all signals
sets the upper::sets the upper
number of wavelengths::number of wavelengths
number these days::number these days
respect while doing::respect while doing
doing the routing::doing the routing
assignment the problem::assignment the problem
choose a route::choose a route
signals can block::signals can block
two particular source::two particular source
pair of source::pair of source
put a connection::put a connection
objective of sle::objective of sle
minimize the total::minimize the total
connecting the maximum::connecting the maximum
number of nodes::number of nodes
set of nodes::set of nodes
connect the maximum::connect the maximum
nodes other objective::nodes other objective
number of optical::number of optical
path establishment suppose::path establishment suppose
part the left::part the left
switch this dashed::switch this dashed
light path established::light path established
order to connect::order to connect
connect will connect::connect will connect
direct light path::direct light path
number of light::number of light
network having dynamic::network having dynamic
request may arrive::request may arrive
maximize the number::maximize the number
incoming communication requests::incoming communication requests
communication requests accepted::communication requests accepted
made some kind::made some kind
kind of reservation::kind of reservation
kind of allocation::kind of allocation
block that request::block that request
request or regret::request or regret
regret that request::regret that request
minimize such regrets::minimize such regrets
regrets and maximize::regrets and maximize
number of incoming::number of incoming
goal of dle::goal of dle
order to solve::order to solve
solve this problem::solve this problem
problem is difficult::problem is difficult
sub-problems ? routing::sub-problems ? routing
class of problems::class of problems
polynomial time algorithm::polynomial time algorithm
solved in polynomial::solved in polynomial
large and people::large and people
people have thought::people have thought
polynomial time solution::polynomial time solution
takes a lot::takes a lot
so-called ideal solution::so-called ideal solution
algorithm ? maximize::algorithm ? maximize
number of connections::number of connections
minimize the number::minimize the number
number of hops::number of hops
kinds of things::kinds of things
techniques like fixed::techniques like fixed
means the path::means the path
paths and fixed::paths and fixed
fixed alternate routing::fixed alternate routing
meaning multiple predefined::meaning multiple predefined
multiple predefined paths::multiple predefined paths
adaptive routing techniques::adaptive routing techniques
path is found::path is found
fly that means::fly that means
suitable path depending::suitable path depending
find the shortest::find the shortest
wavelengths affect routing::wavelengths affect routing
wavelength per fiber::wavelength per fiber
routes are blocked::routes are blocked
reassign the wavelengths::reassign the wavelengths
block this request::block this request
wavelength assignment problem::wavelength assignment problem
assignment problem arises::assignment problem arises
wavelength continuity constraint::wavelength continuity constraint
means the wavelength::means the wavelength
order the first::order the first
light path request::light path request
reserve to accommodate::reserve to accommodate
accommodate the request::accommodate the request
first fit algorithm::first fit algorithm
matter of fact::matter of fact
give very bad::give very bad
distribute the load::distribute the load
random or people::random or people
kind of wavelength::kind of wavelength
kind of combinations::kind of combinations
combinations of routing::combinations of routing
points about wavelength::points about wavelength
routing ? setting::routing ? setting
circuit you remember::circuit you remember
talked about circuit::talked about circuit
circuit switch network::circuit switch network
network and packet::network and packet
packet switch networks::packet switch networks
circuit switch networks::circuit switch networks
specifically the telephone::specifically the telephone
networks are circuit::networks are circuit
circuit is set::circuit is set
kinds of packets::kinds of packets
things are coming::things are coming
essential circuit switching::essential circuit switching
circuit is switched::circuit is switched
path is set::path is set
route is fixed::route is fixed
wavelength is assigned::wavelength is assigned
nodes can communicate::nodes can communicate
quiet a high::quiet a high
advantages of setting::advantages of setting
specifically the quality::specifically the quality
quality of service::quality of service
service is good::service is good
traffic and qos::traffic and qos
due to fixed::due to fixed
fixed bandwidth reservation::fixed bandwidth reservation
reservation and sle::reservation and sle
sle is easy::sle is easy
easy to manage::easy to manage
means static light::means static light
establishment is easy::establishment is easy
advantage of wavelength::advantage of wavelength
long circuit set-up::long circuit set-up
order of tens::order of tens
tens of milliseconds::tens of milliseconds
circuits are set::circuits are set
sends some request::sends some request
takes the order::takes the order
milliseconds now tens::milliseconds now tens
traffic is changing::traffic is changing
adopt what light::adopt what light
days its capacity::days its capacity
huge the point::huge the point
two nodes communicating::two nodes communicating
underutilization if proper::underutilization if proper
proper traffic grooming::proper traffic grooming
number of streams::number of streams
streams are coming::streams are coming
routers which communicate::routers which communicate
amount of traffic::amount of traffic
good traffic roaming::good traffic roaming
achieving high efficiency::achieving high efficiency
two single users::two single users
gross under utilization::gross under utilization
circuit switching versus::circuit switching versus
switching versus packet::switching versus packet
versus packet switching::versus packet switching
packet switching part::packet switching part
bandwidth is inefficient::bandwidth is inefficient
inefficient for bursty::inefficient for bursty
remember i told::remember i told
bell telephones people::bell telephones people
people had done::people had done
done a lot::done a lot
lot of study::lot of study
kind of traffic::kind of traffic
long the people::long the people
frequently they talk::frequently they talk
kind of poisson::kind of poisson
distribution with exponential::distribution with exponential
exponential inter arrival::exponential inter arrival
kind of systems::kind of systems
traffic has shrunk::traffic has shrunk
follow some kind::follow some kind
kind of statistics::kind of statistics
lot of packets::lot of packets
packets are coming::packets are coming
kinds of statistics::kinds of statistics
circuit is remaining::circuit is remaining
circuit the busy::circuit the busy
busy time versus::busy time versus
versus the lean::versus the lean
disadvantage is wasted::disadvantage is wasted
low traffic periods::low traffic periods
periods for sle::periods for sle
due to frequent::due to frequent
release in dynamic::release in dynamic
establishment that means::establishment that means
path we require::path we require
path specific pros::path specific pros
pros and cons::pros and cons
wavelengths and number::wavelengths and number
light paths inside::light paths inside
inside the core::inside the core
core so inside::core so inside
aggregation etc traffic::aggregation etc traffic
complex or inflexible::complex or inflexible
inflexible that oxc::inflexible that oxc
kind of switching::kind of switching
optical burst switching::optical burst switching
doing circuit switching::doing circuit switching
setting up light::setting up light
send them packet::send them packet
packet by packet::packet by packet
computers as small::computers as small
level becomes difficult::level becomes difficult
comparison between electronic::comparison between electronic
electronic versus optical::electronic versus optical
versus optical switching::versus optical switching
optical switching data::optical switching data
data is transmitted::data is transmitted
optically in wans::optically in wans
lans electronic switch::lans electronic switch
switch uses digital::switch uses digital
digital switching fabrics::digital switching fabrics
fabrics ; converts::fabrics ; converts
data from optical::data from optical
optical to electronic::optical to electronic
electronic for switching::electronic for switching
electrical to optical::electrical to optical
optical for transmission::optical for transmission
transmission that means::transmission that means
domain as mentioned::domain as mentioned
mentioned a number::mentioned a number
number of times::number of times
done the switching::done the switching
problem the kind::problem the kind
switching and kind::switching and kind
kind of logic::kind of logic
kind of algorithm::kind of algorithm
avoid electronic switching::avoid electronic switching
cost of electronic::cost of electronic
speed requirement increases::speed requirement increases
increases and optical::increases and optical
optical or photonic::optical or photonic
switching uses optical::switching uses optical
optical switching fabrics::optical switching fabrics
data traffic growth::data traffic growth
doubling every year::doubling every year
domain or moor::domain or moor
speed has increased::speed has increased
increased many fold::increased many fold
speed has grown::speed has grown
order of magnitude::order of magnitude
electronics is unable::electronics is unable
unable to move::unable to move
rate of development::rate of development
development so pure::development so pure
pure electronic processing::pure electronic processing
processing and switching::processing and switching
space power consumption::space power consumption
problem because heat::problem because heat
requires most space::requires most space
kind of system::kind of system
kind of multiplexing::kind of multiplexing
weighs the heaviest::weighs the heaviest
cost of oeo::cost of oeo
cost including wdm::cost including wdm
including wdm system::including wdm system
dominant factor oeo::dominant factor oeo
0c-192 and higher::0c-192 and higher
dominant cost factor::dominant cost factor
cost and high::cost and high
independent of bit::independent of bit
synergetic to optical::synergetic to optical
transmission and future::transmission and future
things might change::things might change
mature and reliable::mature and reliable
processing and control::processing and control
require some electronic::require some electronic
monitoring are hard::monitoring are hard
hard you remember::hard you remember
amplify a signal::amplify a signal
3rs that means::3rs that means
reshape and retime::reshape and retime
variable or fixed::variable or fixed
length the advantage::length the advantage
advantage of packet::advantage of packet
kind of statistical::kind of statistical
circuit set-up delay::circuit set-up delay
enables statistical sharing::enables statistical sharing
sharing of link::sharing of link
bandwidth among packets::bandwidth among packets
sources and destinations::sources and destinations
efficient ; bandwidth::efficient ; bandwidth
switching is done::switching is done
buffers the packet::buffers the packet
processes its header::processes its header
store this packet::store this packet
done in packet::done in packet
inherently bandwidth efficient::inherently bandwidth efficient
access or metro::access or metro
passive star couplers::passive star couplers
sonet wdm rings::sonet wdm rings
rings or token::rings or token
talk about token::talk about token
