computer networks prof::computer networks prof
prof s ghosh::prof s ghosh
dept of computer::dept of computer
science & engineering::science & engineering
engineering iit kharagpur::engineering iit kharagpur
iit kharagpur lecture::iit kharagpur lecture
today is tcp::today is tcp
important transport protocol::important transport protocol
complex then udp::complex then udp
transport layer responsibilities::transport layer responsibilities
transport layer creates::transport layer creates
layer creates packets::layer creates packets
packets from byte::packets from byte
byte steam received::byte steam received
order to multiplex::order to multiplex
multiplex and de-multiplex::multiplex and de-multiplex
numbers to create::numbers to create
create process-to-process communication::create process-to-process communication
sliding window protocol::sliding window protocol
protocol to achieve::protocol to achieve
achieve flow control::achieve flow control
out and retransmission::out and retransmission
retransmission to achieve::retransmission to achieve
achieve error control::achieve error control
unreliable this seeks::unreliable this seeks
seeks to provide::seeks to provide
provide a reliable::provide a reliable
communication that means::communication that means
connection oriented protocol::connection oriented protocol
kind of congestion::kind of congestion
congestion control mechanism::congestion control mechanism
thing of connecting::thing of connecting
connecting between processors::connecting between processors
two distant nodes::two distant nodes
connection-oriented reliable transport::connection-oriented reliable transport
reliable transport protocol::reliable transport protocol
protocol it adds::protocol it adds
adds connection oriented::adds connection oriented
oriented and reliability::oriented and reliability
kind of service::kind of service
connectionless whereas tcp::connectionless whereas tcp
give some kind::give some kind
kind of connection-oriented::kind of connection-oriented
connection and proposal::connection and proposal
proposal is implemented::proposal is implemented
two end nodes::two end nodes
nodes that means::nodes that means
means the intermediate::means the intermediate
role to play::role to play
reliable and ordered::reliable and ordered
ordered ordered means::ordered ordered means
means the packets::means the packets
packets are received::packets are received
received in order::received in order
packets will arrive::packets will arrive
arrive in order::arrive in order
first may land::first may land
earlier and vice::earlier and vice
versa but tcp::versa but tcp
makes them ordered::makes them ordered
ordered tcp brings::ordered tcp brings
brings an order::brings an order
tcp is point-to-point::tcp is point-to-point
point-to-point and unicast::point-to-point and unicast
reliable and unicast::reliable and unicast
flavor to tcp::flavor to tcp
tcp it takes::tcp it takes
takes the byte-stream::takes the byte-stream
full loop-less connection::full loop-less connection
connection that means::connection that means
connected by tcp::connected by tcp
flow and congestion::flow and congestion
transmission control protocol::transmission control protocol
data transfer tcp::data transfer tcp
transfer tcp establishes::transfer tcp establishes
establishes a connection::establishes a connection
network like classical::network like classical
kinds of control::kinds of control
first a connection::first a connection
connection is set::connection is set
actual data transmission::actual data transmission
data transmission begins::data transmission begins
tcp a connection::tcp a connection
two end points::two end points
transmission takes place::transmission takes place
entity is waiting::entity is waiting
tcp entity-client contacts::tcp entity-client contacts
contacts the server::contacts the server
server the actual::server the actual
procedure for setting::procedure for setting
setting up connection::setting up connection
complex the client::complex the client
client first makes::client first makes
makes a request::makes a request
acknowledges the request::acknowledges the request
request and accepts::request and accepts
data transfer begins::data transfer begins
