keyphrase	dispersion	cuewords	tfidf	localspan	cscore	keyword
d	c	c	c	c	c	d
m						class
introduction to computer	0.5471698113	0.0	0.0	0.996644295302	7.92481250361	False
computer programming summer	0.5471698113	0.0	0.0	0.996644295302	7.92481250361	False
administration office hours	0.0000000000	0.0	0.0	0.0	1.58496250072	False
office hours held	0.0000000000	0.0	0.0	0.0	1.58496250072	False
posted on announcements	0.0000000000	0.0	0.0	0.0	1.58496250072	False
people in thursday	0.0000000000	0.0	0.0	0.0	1.58496250072	False
tutorials consider switching	0.0000000000	0.0	0.0	0.0	1.58496250072	False
class in ba1170	0.0000000000	0.0	0.0	0.0	1.58496250072	False
ba1170 on june	0.0000000000	0.0	0.0	0.0	1.58496250072	False
july 14th website	0.0000000000	0.0	0.0	0.0	1.58496250072	False
14th website typo	0.0000000000	0.0	0.0	0.0	1.58496250072	False
typo in info	0.0000000000	0.0	0.0	0.0	1.58496250072	False
added my e-mail	0.0000000000	0.0	0.0	0.0	1.58496250072	False
e-mail is quellan	0.0000000000	0.0	0.0	0.0	1.58496250072	False
quellan @ cs.toronto.edu	0.0000000000	0.0	0.0	0.0	1.58496250072	False
cs.toronto.edu not quellan	0.0000000000	0.0	0.0	0.0	1.58496250072	False
short and simple	0.0000000000	0.0	0.0	0.0	1.58496250072	False
machines no questions	0.0000000000	0.0	0.0	0.0	1.58496250072	False
accepted after june	0.0000000000	0.0	0.0	0.0	1.58496250072	False
programs to recipes	0.0000000000	0.0	0.0	0.0	1.58496250072	False
programs can behave	0.0000000000	0.0	0.0	0.0	1.58496250072	False
behave differently depending	0.0000000000	0.0	0.0	0.0	1.58496250072	False
two values true	0.0000000000	0.0	0.0	0.0	1.58496250072	False
false and vice	0.0000000000	0.0	0.0	0.0	1.58496250072	False
versa and returns	0.0000000000	0.0	0.0	0.0	1.58496250072	False
arguments are true	0.0000000000	0.0	0.0	0.0	1.58496250072	False
true or returns	0.0000000000	0.0	0.0	0.0	1.58496250072	False
arguments are false	0.0000000000	0.0	0.0	0.0	1.58496250072	False
representing boolean expressions	0.0000000000	0.0	0.0	0.0	1.58496250072	False
true true false	0.2974358974	0.0	0.0	3.99731543624	6.33985000288	False
true false false	0.2365415987	0.0	0.0	4.9966442953	7.92481250361	False
false false true	0.2056737589	0.0	0.0	3.99731543624	6.33985000288	False
false true true	0.0000000000	0.0	0.0	2.99798657718	4.75488750216	False
true true true	0.0000000000	0.0	0.0	0.0	1.58496250072	False
false true false	0.0000000000	0.0	0.0	0.0	3.16992500144	False
true false true	0.0000000000	0.0	0.0	0.0	1.58496250072	False
adapatively assign boolean	0.0000000000	0.0	0.0	0.0	1.58496250072	False
assign boolean values	0.0000000000	0.0	0.0	0.0	1.58496250072	False
operators that return	0.0000000000	0.0	0.0	0.0	1.58496250072	False
true or false	0.0000000000	0.0	0.0	0.0	1.58496250072	False
expressions and representation	0.0000000000	0.0	0.0	0.0	1.58496250072	False
representation can combine	0.0000000000	0.0	0.0	0.0	1.58496250072	False
combine boolean operators	0.0000000000	0.0	0.0	0.0	1.58496250072	False
legal expression arithmetic	0.0000000000	0.0	0.0	0.0	1.58496250072	False
false is represented	0.0000000000	0.0	0.0	0.0	1.58496250072	False
true is represented	0.0000000000	0.0	0.0	0.0	1.58496250072	False
lead to weirdness	0.0000000000	0.0	0.0	0.0	1.58496250072	False
short circuit evaluation	0.0000000000	0.0	0.0	0.0	1.58496250072	False
circuit evaluation python	0.0000000000	0.0	0.0	0.0	1.58496250072	False
python only evaluates	0.0000000000	0.0	0.0	0.0	1.58496250072	False
evaluates a boolean	0.0000000000	0.0	0.0	0.0	1.58496250072	False
answer is clear	0.0000000000	0.0	0.0	0.0	1.58496250072	False
nature of boolean	0.0000000000	0.0	0.0	0.0	1.58496250072	False
representation can lead	0.0000000000	0.0	0.0	0.0	1.58496250072	False
lead to strange	0.0000000000	0.0	0.0	0.0	1.58496250072	False
strange behaviour exploiting	0.0000000000	0.0	0.0	0.0	1.58496250072	False
exploiting these behaviours	0.0000000000	0.0	0.0	0.0	1.58496250072	False
behaviours is bad	0.0000000000	0.0	0.0	0.0	1.58496250072	False
boolean variables recall	0.0000000000	0.0	0.0	0.0	1.58496250072	False
make our code	0.0000000000	0.0	0.0	0.0	1.58496250072	False
selectively execute blocks	0.0000000000	0.0	0.0	0.0	1.58496250072	False
blocks of code	0.0000000000	0.0	0.0	0.0	1.58496250072	False
